taskid,reviewerid,groupid,grade
13,83,77,9
13,84,13,6
13,84,24,8
13,85,3,1
13,85,63,12
13,87,30,12
13,87,53,9
13,88,30,4
13,88,49,6
13,89,19,11
13,89,24,9
13,90,26,11
13,90,45,9
13,91,6,7
13,91,13,5
13,92,10,8
13,92,35,8
13,93,61,11
13,93,73,5
13,96,20,12
13,96,53,8
13,97,19,10
13,97,33,6
13,100,2,12
13,100,17,12
13,102,39,9
13,102,44,12
13,103,30,4
13,103,54,5
13,105,39,8
13,105,68,10
13,106,47,7
13,106,49,7
13,107,33,5
13,107,75,8
13,110,1,4
13,110,5,3
13,113,11,6
13,113,77,6
13,114,33,7
13,114,76,8
13,115,61,10
13,115,74,8
13,116,12,2
13,116,28,4
13,117,70,1
13,117,72,10
13,118,47,4
13,118,72,10
13,119,4,9
13,119,50,8
13,122,12,4
13,122,48,8
13,123,2,12
13,123,13,5
13,126,34,6
13,126,75,11
13,127,54,9
13,127,76,8
13,128,21,5
13,128,69,12
13,129,30,3
13,129,44,11
13,132,68,7
13,132,74,10
13,133,65,4
13,133,73,5
13,136,30,3
13,136,69,9
13,137,4,11
13,137,45,11
13,139,38,0
13,139,54,7
13,142,7,5
13,142,38,3
13,143,23,7
13,143,58,7
13,144,6,7
13,144,42,8
13,145,34,5
13,145,73,3
13,146,17,7
13,146,58,4
13,147,24,9
13,147,29,4
13,148,47,4
13,148,71,6
13,149,36,7
13,149,43,9
13,150,9,5
13,150,67,5
13,151,9,6
13,151,58,9
13,152,1,6
13,152,49,5
13,153,22,6
13,153,68,9
13,154,6,5
13,154,55,6
13,155,2,9
13,155,40,4
13,156,21,9
13,156,61,11
13,157,35,12
13,157,64,4
13,158,32,11
13,158,64,4
13,160,9,3
13,160,67,12
13,163,54,5
13,163,70,2
13,164,32,9
13,164,48,8
13,166,3,1
13,166,26,9
13,167,4,6
13,167,25,10
13,168,36,11
13,168,55,7
13,169,1,6
13,169,64,4
13,170,10,3
13,170,77,6
13,171,6,8
13,171,52,10
13,172,30,4
13,172,42,8
13,173,55,6
13,173,64,3
13,174,5,3
13,174,41,7
13,176,60,12
13,176,74,12
13,178,7,5
13,178,17,7
13,179,7,5
13,179,44,7
13,180,11,5
13,180,59,6
13,181,41,10
13,181,59,7
13,182,2,10
13,182,15,8
13,184,11,8
13,184,28,6
13,186,50,7
13,186,79,12
13,188,15,12
13,188,75,12
13,190,17,6
13,190,79,8
13,191,28,6
13,191,38,4
13,193,3,5
13,193,73,4
13,195,10,4
13,195,48,8
13,196,12,4
13,196,25,6
13,197,23,10
13,197,71,7
13,198,18,9
13,198,63,11
13,199,49,3
13,199,61,12
13,200,9,2
13,200,32,11
13,201,73,1
13,201,75,11
13,202,50,8
13,202,79,10
13,203,20,12
13,203,29,8
13,204,42,8
13,204,59,7
13,205,6,8
13,205,36,11
13,206,52,7
13,206,65,4
13,207,7,0
13,207,69,12
13,208,7,5
13,208,77,10
13,210,55,6
13,210,67,9
13,212,5,7
13,212,60,12
13,213,25,6
13,213,58,7
13,215,40,5
13,215,43,9
13,216,10,2
13,216,24,7
13,217,14,6
13,217,60,12
13,218,26,7
13,218,28,4
13,224,41,8
13,224,69,12
13,225,38,0
13,225,45,6
21,7,11,7
21,7,60,8
21,8,37,6
21,8,48,8
21,9,17,8
21,9,44,6
21,10,14,8
21,10,59,2
21,11,22,8
21,11,48,8
21,12,56,1
21,12,74,8
21,13,22,8
21,13,39,4
21,14,59,8
21,14,71,8
21,15,42,7
21,15,44,8
21,16,6,8
21,16,71,8
21,17,17,8
21,17,53,8
21,18,28,7
21,18,70,7
21,19,14,8
21,19,61,8
21,20,60,7
21,20,65,8
21,21,6,7
21,21,70,8
21,22,3,8
21,22,22,8
21,23,62,7
21,23,79,8
21,24,38,5
21,24,42,7
21,25,2,8
21,25,24,1
21,26,40,5
21,26,43,4
21,27,13,8
21,27,78,8
21,28,14,8
21,28,73,7
21,29,46,8
21,29,63,8
21,30,13,6
21,30,39,5
21,31,4,7
21,31,17,7
21,32,9,8
21,32,12,8
21,33,22,8
21,33,29,6
21,34,17,8
21,34,71,6
21,35,45,8
21,35,78,6
21,36,8,5
21,36,46,7
21,37,4,6
21,37,26,5
21,38,2,8
21,38,76,4
21,39,14,8
21,39,61,8
21,40,42,5
21,40,64,5
21,42,50,8
21,42,77,8
21,43,30,8
21,43,51,8
21,44,1,7
21,44,25,8
21,46,7,6
21,46,29,7
21,47,28,7
21,47,72,5
21,48,19,8
21,48,74,8
21,49,23,8
21,49,37,7
21,50,6,7
21,50,16,8
21,51,12,4
21,51,71,4
21,52,41,8
21,52,59,8
21,53,59,6
21,53,64,4
21,54,37,6
21,54,64,6
21,55,63,8
21,55,79,7
21,56,18,8
21,56,57,8
21,57,37,2
21,57,60,8
21,58,9,7
21,58,58,4
21,59,56,1
21,59,72,4
21,60,42,7
21,60,63,8
21,61,13,8
21,61,43,8
21,62,41,7
21,62,50,6
21,63,18,7
21,63,58,6
21,64,43,8
21,64,72,7
21,65,45,2
21,65,67,6
21,67,3,8
21,67,39,8
21,68,21,4
21,68,32,8
21,69,19,8
21,69,46,8
21,70,24,6
21,70,53,8
21,71,18,8
21,71,29,6
21,73,27,8
21,73,66,7
21,74,36,6
21,74,75,4
21,75,27,8
21,75,49,6
21,76,20,7
21,76,45,6
21,77,27,5
21,77,77,5
21,78,22,8
21,78,69,8
21,79,15,8
21,79,32,6
21,80,16,7
21,80,47,6
21,81,31,2
21,81,72,6
21,82,36,6
21,82,53,8
21,83,20,8
21,83,56,1
21,84,6,7
21,84,70,8
21,85,15,8
21,85,64,6
21,86,3,6
21,86,36,7
21,86,48,8
21,86,77,6
21,87,8,6
21,87,13,8
21,88,21,4
21,88,33,6
21,89,1,7
21,89,44,8
21,90,20,8
21,90,35,7
21,92,11,8
21,92,56,1
21,93,39,6
21,93,60,8
21,94,7,7
21,94,57,8
21,95,68,8
21,95,73,6
21,96,35,6
21,96,71,3
21,97,59,8
21,97,66,7
21,98,32,6
21,98,68,8
21,100,13,7
21,100,38,8
21,101,50,8
21,101,69,8
21,102,55,5
21,102,57,6
21,104,4,8
21,104,6,8
21,104,68,7
21,104,78,8
21,105,4,8
21,105,62,8
21,106,5,5
21,106,49,7
21,107,10,6
21,107,13,7
21,108,23,7
21,108,70,6
21,109,17,8
21,109,33,8
21,110,52,8
21,110,74,8
21,112,29,6
21,112,51,5
21,113,6,8
21,113,30,6
21,114,9,7
21,114,73,7
21,115,20,8
21,115,32,8
21,116,28,8
21,116,41,8
21,117,10,6
21,117,33,6
21,118,8,5
21,118,24,7
21,119,19,8
21,119,27,8
21,120,40,4
21,120,75,4
21,121,52,6
21,121,79,7
21,122,49,6
21,122,51,6
21,123,37,6
21,123,52,8
21,125,56,1
21,125,62,3
21,126,30,5
21,126,50,8
21,127,12,8
21,127,69,8
21,128,46,6
21,128,66,6
21,129,8,6
21,129,11,8
21,129,36,8
21,129,73,8
21,130,2,8
21,130,5,5
21,131,12,7
21,131,16,7
21,132,17,4
21,132,76,2
21,133,22,8
21,133,55,4
21,134,27,6
21,134,65,8
21,135,29,8
21,135,41,4
21,136,38,8
21,136,74,7
21,137,33,6
21,137,49,5
21,138,4,8
21,138,70,8
21,139,19,7
21,139,75,4
21,140,47,7
21,140,66,4
21,141,25,7
21,141,69,8
21,142,19,8
21,142,20,8
21,143,12,6
21,143,65,6
21,144,53,8
21,144,75,8
21,146,23,8
21,146,67,7
21,146,71,6
21,146,78,7
21,147,3,7
21,147,44,8
21,148,65,7
21,148,66,3
21,149,49,6
21,149,79,8
21,150,17,6
21,150,28,8
21,151,67,6
21,151,77,6
21,152,2,8
21,152,27,6
21,153,26,7
21,153,29,6
21,154,9,8
21,154,10,7
21,155,26,7
21,155,53,7
21,156,43,4
21,156,46,3
21,157,45,6
21,157,72,6
21,158,14,8
21,158,27,6
21,159,39,4
21,159,41,7
21,160,42,7
21,160,55,6
21,161,16,7
21,161,62,7
21,162,7,8
21,162,50,8
21,163,1,6
21,163,76,4
21,164,40,7
21,164,55,4
21,166,12,6
21,166,37,4
21,168,15,8
21,168,30,6
21,169,31,4
21,169,35,8
21,170,31,2
21,170,58,6
21,171,23,8
21,171,78,8
21,172,64,8
21,172,73,7
21,173,2,8
21,173,61,7
21,174,10,7
21,174,25,6
21,175,20,8
21,175,74,7
21,176,33,8
21,176,60,8
21,177,10,8
21,177,26,5
21,178,62,6
21,178,77,7
21,179,39,4
21,179,44,4
21,179,56,1
21,179,75,4
